Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01032769,Tower Hamlets 025F,132,53.2,4.9,37.9,3.2,0.7,46.8,55469
E01004292,Tower Hamlets 026A,116,71.9,4.9,19.2,1.6,2.3,28.1,72042
E01004294,Tower Hamlets 026B,79,59.7,5.0,29.3,4.2,1.9,40.3,52191
E01004295,Tower Hamlets 026C,211,21.1,2.7,67.7,6.8,1.7,78.9,26575
E01004296,Tower Hamlets 026D,146,45.0,4.2,44.9,4.4,1.6,55.0,34021
E01004291,Tower Hamlets 027A,157,75.8,3.2,16.8,1.9,2.4,24.2,62297
E01004293,Tower Hamlets 027B,63,76.2,3.2,16.9,1.9,1.6,23.8,70068
E01004297,Tower Hamlets 027C,148,76.0,3.6,15.9,2.8,1.7,24.0,71033
E01004215,Tower Hamlets 028A,106,47.0,5.0,36.6,8.8,2.6,53.0,39071
E01004219,Tower Hamlets 028B,113,27.9,3.4,53.7,12.3,2.5,72.1,30676
E01004221,Tower Hamlets 028D,144,57.8,3.6,31.0,6.1,1.5,42.2,48293
E01032776,Tower Hamlets 028E,170,47.7,4.6,37.5,5.7,4.6,52.3,60683
E01032777,Tower Hamlets 028F,104,40.1,5.3,39.4,11.2,4.1,59.9,49386
E01032778,Tower Hamlets 028G,38,41.6,6.4,41.2,6.5,4.2,58.4,55034
E01032779,Tower Hamlets 028H,380,49.4,5.8,31.7,8.6,4.5,50.6,56001
E01032780,Tower Hamlets 028I,44,55.7,3.8,36.2,2.9,1.5,44.3,70976
E01004214,Tower Hamlets 030A,246,42.8,5.6,39.9,10.2,1.4,57.2,26011
E01004216,Tower Hamlets 030B,188,59.8,4.4,30.4,3.2,2.2,40.2,47825
E01004217,Tower Hamlets 030C,45,62.4,3.6,29.5,3.9,0.7,37.6,38662
E01004218,Tower Hamlets 030D,118,64.9,5.1,22.7,3.8,3.5,35.1,53722
E01004274,Tower Hamlets 031A,245,35.3,4.2,50.9,7.1,2.5,64.7,36114
E01004275,Tower Hamlets 031B,150,68.2,4.7,21.8,3.8,1.4,31.8,47541
E01004276,Tower Hamlets 031C,258,70.2,3.5,22.1,2.0,2.2,29.8,74069
E01004281,Tower Hamlets 031D,147,58.7,4.0,32.8,2.5,2.0,41.3,59896
E01032775,Tower Hamlets 031F,321,58.8,3.8,32.3,2.7,2.3,41.2,65240
E01032783,Tower Hamlets 031G,173,52.3,3.5,33.6,8.5,2.1,47.7,48855
E01004280,Tower Hamlets 032A,137,45.6,4.0,37.9,8.9,3.7,54.4,40444
E01032770,Tower Hamlets 032B,318,44.8,7.1,38.3,6.1,3.7,55.2,51095
E01032772,Tower Hamlets 032C,134,48.1,2.7,41.2,3.9,4.1,51.9,32887
E01032773,Tower Hamlets 032D,803,43.2,4.1,40.5,8.8,3.4,56.8,49997
E01032774,Tower Hamlets 032E,61,47.3,7.3,32.9,9.6,2.9,52.7,34050
E01004277,Tower Hamlets 033A,37,61.0,4.4,30.1,1.5,3.0,39.0,79658
E01032771,Tower Hamlets 033B,40,42.1,4.7,42.3,6.3,4.5,57.9,51434
E01032781,Tower Hamlets 033C,280,59.4,2.9,31.5,3.3,3.0,40.6,59983
E01032782,Tower Hamlets 033D,302,42.1,5.6,37.6,10.3,4.5,57.9,37938
E01004560,Wandsworth 001A,29,78.5,3.4,5.8,9.7,2.6,21.5,43630
E01004566,Wandsworth 001B,171,86.5,3.8,3.8,3.5,2.5,13.5,55099
E01004582,Wandsworth 001C,165,76.2,5.8,7.3,6.5,4.1,23.8,52476
E01004583,Wandsworth 001D,123,77.8,4.6,6.3,7.8,3.5,22.2,45268
E01004562,Wandsworth 002B,28,49.5,7.6,10.5,28.5,3.9,50.5,28043
E01004563,Wandsworth 002C,142,50.9,8.4,10.7,26.8,3.2,49.1,26458
E01004564,Wandsworth 002D,46,77.0,5.3,2.9,12.6,2.2,23.0,38937
E01004567,Wandsworth 002E,192,43.0,6.7,12.4,33.7,4.1,57.0,25962
E01033098,Wandsworth 002F,37,66.8,6.7,13.8,3.3,9.4,33.2,42391
E01033100,Wandsworth 002G,113,60.3,7.3,9.0,19.4,4.0,39.7,28799
E01033132,Wandsworth 002H,42,58.1,8.7,9.7,14.9,8.7,41.9,32807
E01004539,Wandsworth 003A,149,44.9,8.4,10.0,33.1,3.6,55.1,24120
E01004540,Wandsworth 003B,145,69.9,5.8,5.4,16.6,2.4,30.1,33778
E01004577,Wandsworth 003C,175,81.1,4.1,4.4,8.7,1.6,18.9,42147
E01004584,Wandsworth 003D,332,44.1,9.0,7.1,38.1,1.6,55.9,24104
E01004579,Wandsworth 004B,140,78.6,3.0,5.1,10.7,2.6,21.4,47438
E01004580,Wandsworth 004C,188,72.1,5.6,7.3,12.7,2.2,27.9,35019
E01004581,Wandsworth 004D,160,77.1,4.1,7.4,8.9,2.6,22.9,38565
E01033099,Wandsworth 004E,112,61.2,6.0,7.3,22.1,3.4,38.8,36935
E01033101,Wandsworth 004F,114,73.4,4.4,13.2,3.0,6.0,26.6,60339
E01033133,Wandsworth 004G,212,69.0,5.9,9.1,11.7,4.3,31.0,46389
E01004565,Wandsworth 005A,190,79.6,5.5,3.7,9.5,1.7,20.4,39949
E01004590,Wandsworth 005B,123,73.6,5.6,5.4,14.4,1.0,26.4,34434
E01004591,Wandsworth 005C,153,70.6,5.7,5.8,15.8,2.2,29.4,37734
E01004592,Wandsworth 005D,178,78.1,5.7,4.8,10.1,1.4,21.9,36458
E01004604,Wandsworth 006A,44,93.8,2.7,1.8,0.8,0.9,6.2,74558
E01004605,Wandsworth 006B,92,84.7,4.0,5.6,4.7,1.1,15.3,50080
E01004606,Wandsworth 006C,157,91.6,2.0,4.7,0.6,1.2,8.4,62934
E01004607,Wandsworth 006D,100,90.6,3.2,4.2,1.2,0.9,9.4,65374
E01004608,Wandsworth 006E,173,84.2,5.5,4.5,4.3,1.5,15.8,49309
E01004535,Wandsworth 007A,223,32.5,8.3,11.0,43.9,4.3,67.5,21567
E01004537,Wandsworth 007B,162,48.6,7.3,10.3,30.9,2.8,51.4,24841
E01004538,Wandsworth 007C,179,55.2,6.7,10.6,25.1,2.3,44.8,30670
E01004541,Wandsworth 007D,176,46.1,6.6,9.6,34.8,2.9,53.9,26388
E01004534,Wandsworth 008A,73,84.6,4.2,5.1,5.0,1.1,15.4,52203
E01004536,Wandsworth 008B,156,59.4,6.9,8.7,22.5,2.5,40.6,31301
E01004552,Wandsworth 008C,204,85.8,4.0,5.3,3.9,1.1,14.2,55265
E01004585,Wandsworth 008D,154,83.2,4.0,5.8,5.1,1.9,16.8,50666
E01004588,Wandsworth 008E,117,84.7,4.2,4.1,4.7,2.3,15.3,58113
E01004554,Wandsworth 009A,43,87.1,4.4,4.7,3.5,0.4,12.9,66539
E01004556,Wandsworth 009B,173,89.6,4.1,2.7,3.0,0.6,10.4,72510
E01004586,Wandsworth 009C,229,85.4,3.7,3.8,6.3,0.9,14.6,56184
E01004587,Wandsworth 009D,173,84.6,4.6,5.1,4.3,1.4,15.4,59959
E01004589,Wandsworth 009E,188,89.2,3.1,2.4,4.2,1.1,10.8,61802
E01004509,Wandsworth 010A,57,77.3,3.7,10.0,5.5,3.6,22.7,45815
E01004511,Wandsworth 010B,103,86.1,4.7,6.5,2.1,0.5,13.9,59902
E01004602,Wandsworth 010C,121,86.3,3.0,7.1,3.2,0.4,13.7,58142
E01004609,Wandsworth 010E,104,84.5,2.7,9.3,1.4,2.0,15.5,57966
E01033093,Wandsworth 010F,63,85.4,3.0,6.9,3.0,1.6,14.6,66986
E01033135,Wandsworth 010G,107,89.6,3.6,4.3,1.2,1.2,10.4,64489
E01004506,Wandsworth 011A,97,81.2,4.8,8.6,3.1,2.3,18.8,55604
E01004638,Wandsworth 011B,50,88.8,3.9,5.0,1.7,0.6,11.2,74287
E01004639,Wandsworth 011C,74,82.7,3.0,8.5,3.8,2.0,17.3,46140
E01004640,Wandsworth 011D,107,86.1,3.7,5.7,2.6,1.8,13.9,58769
E01004641,Wandsworth 011E,90,79.5,4.8,7.5,5.4,2.8,20.5,38866
E01004508,Wandsworth 012A,156,81.1,3.8,6.5,6.9,1.6,18.9,47931
E01004510,Wandsworth 012B,122,78.5,4.6,6.4,9.4,1.0,21.5,48596
E01004514,Wandsworth 012C,106,85.5,3.0,4.3,5.8,1.4,14.5,56771
E01004515,Wandsworth 012D,169,67.6,6.3,7.7,16.8,1.6,32.4,40735
E01004551,Wandsworth 012E,84,70.2,5.7,7.7,14.7,1.6,29.8,36952
E01004568,Wandsworth 013A,81,65.3,6.4,8.9,17.0,2.4,34.7,20735
E01004574,Wandsworth 013B,85,52.5,9.6,11.4,22.2,4.4,47.5,19994
E01004575,Wandsworth 013C,33,69.0,5.4,10.7,12.2,2.8,31.0,27055
E01004576,Wandsworth 013D,36,70.7,5.9,10.7,9.7,3.1,29.3,29022
E01004500,Wandsworth 014A,120,81.0,3.9,8.9,3.5,2.6,19.0,44593
E01004501,Wandsworth 014B,95,77.6,4.9,7.3,7.5,2.6,22.4,39000
E01004503,Wandsworth 014C,85,80.3,4.2,7.8,4.7,3.1,19.7,46284
E01004505,Wandsworth 014D,81,78.2,3.8,9.8,2.8,5.3,21.8,50928
E01004507,Wandsworth 014E,100,79.6,4.6,9.8,3.3,2.7,20.4,47931
E01004553,Wandsworth 015A,87,85.3,2.9,4.8,6.1,0.9,14.7,53437
E01004557,Wandsworth 015B,149,86.3,3.8,3.6,4.9,1.4,13.7,58668
E01004558,Wandsworth 015C,80,86.6,3.6,3.7,5.6,0.5,13.4,59589
E01004559,Wandsworth 015D,81,88.2,3.3,2.4,5.2,0.9,11.8,67220
E01004619,Wandsworth 015E,26,89.7,3.1,2.6,4.0,0.6,10.3,64506
E01004572,Wandsworth 016A,21,71.7,3.1,9.5,12.1,3.7,28.3,34097
E01004642,Wandsworth 016B,87,78.1,5.8,6.2,7.0,2.9,21.9,33941
E01004643,Wandsworth 016C,100,64.1,6.9,13.3,11.7,4.1,35.9,32450
E01004644,Wandsworth 016D,56,80.1,4.6,6.2,6.2,2.8,19.9,37873
