codes,smr
E01000326,0.99578742
E01000327,1.513239089
E01000328,0.396310504
E01000329,0.863928553
E01000330,1.184511652
E01000331,1.046900653
E01000332,1.280034295
E01000333,1.507779201
E01000334,0.939173653
E01000335,1.233262934
E01000336,1.877235477
E01000337,1.593300175
E01000338,1.060404214
E01000339,1.744631248
E01000340,0.933711289
E01000341,1.211191626
E01000342,1.359599521
E01000343,1.204709955
E01000344,1.167840859
E01000345,1.045628067
E01000346,0.273663383
E01000347,1.316349223
E01000348,0.61187293
E01000349,0.968180628
E01000350,1.049765663
E01000351,1.564446244
E01000352,0.657230608
E01000353,0.790103999
E01000354,0.784850146
E01000355,0.792807677
E01000356,0.968235252
E01000357,1.164684115
E01000358,1.62706091
E01000359,0.812173072
E01000360,1.715382371
E01000361,1.082229343
E01000362,1.033984662
E01000363,0.905946864
E01000364,1.192309573
E01000365,2.365340187
E01000366,0.965687448
E01000367,1.936646255
E01000368,1.582209147
E01000369,1.176223433
E01000370,1.544276423
E01000371,0.768591253
E01000372,1.975509203
E01000373,1.044631093
E01000374,2.373308962
E01000375,1.442056309
E01000376,1.712011659
E01000377,1.066121969
E01000378,1.716202464
E01000379,1.960000327
E01000380,1.813864693
E01000381,1.762961894
E01000382,0.463553128
E01000383,1.355649571
E01000384,0.850566796
E01000385,1.916770996
E01000386,1.991841548
E01000387,1.077143381
E01000388,0.610564904
E01000389,0.685575248
E01000390,1.380061423
E01000391,1.630118338
E01000392,1.491119029
E01000393,0.880595198
E01000394,1.283596852
E01000395,0.831429597
E01000396,0.75628756
E01000398,1.681498033
E01000399,0.880522445
E01000400,0.936867701
E01000401,1.987070135
E01000402,1.612950881
E01000403,0.984820192
E01000404,1.680069431
E01000405,1.010566437
E01000406,1.765853005
E01000407,1.607796682
E01000408,1.458253897
E01000409,1.151314186
E01000410,0.383150006
E01000411,0.957533147
E01000412,0.890697084
E01000413,1.334478806
E01000414,0.827192024
E01000415,0.901354294
E01000416,0.958457017
E01000417,1.1700046
E01000418,1.335286502
E01000419,1.253939114
E01000420,0.462525062
E01000421,1.135403866
E01000422,1.029350045
E01000423,0.841521431
E01000424,1.086149946
E01000425,1.486551017
E01000426,0.620762172
E01000427,0.72971761
E01000428,2.181685796
E01000429,1.867935846
E01000430,1.687974167
E01000431,1.537270611
E01000432,1.624757314
E01000433,1.842841183
E01000434,1.932830133
E01000435,2.195159934
E01000436,0.594780289
E01000437,0.680321813
E01000438,0.794442136
E01000439,2.016000322
E01000440,1.340797801
E01000441,1.629957347
E01000442,0.600624521
E01000443,1.802374198
E01000444,1.54731153
E01000445,1.342076396
E01000446,1.421098006
E01000447,0.741946854
E01000448,0.620963153
E01000449,1.434585931
E01000450,0.87089359
E01000451,0.654922652
E01000452,0.703117435
E01000453,0.763252026
E01000454,1.390331519
E01000455,0.800804927
E01000456,1.457944671
E01000457,1.284083888
E01000458,0.438214444
E01000459,1.708816247
E01000460,0.965431805
E01000461,0.545864333
E01000462,1.939119973
E01000463,0.990070299
E01000464,1.758782063
E01000465,1.255634928
E01000466,1.004211778
E01000467,1.225654589
E01000468,1.257743767
E01000469,1.470883153
E01000470,1.978508482
E01000471,1.271251306
E01000472,0.909888083
E01000473,0.987956121
E01000474,1.197142635
E01000475,0.768616591
E01000476,1.084889497
E01000477,0.458057021
E01000478,0.92494481
E01000479,0.724655943
E01000480,0.806468309
E01000481,1.707798216
E01000482,0.975108513
E01000483,1.585843034
E01000484,1.114453597
E01000485,1.234011254
E01000486,0.655261674
E01000487,1.513499021
E01000488,1.217092681
E01000489,0.83385206
E01000490,2.06004796
E01000491,0.875614506
E01000492,1.353783011
E01000493,1.130622293
E01000494,1.571019372
E01000495,2.522555592
E01000497,0.651920124
E01000498,1.466876232
E01000499,1.270673785
E01000501,1.167832042
E01000502,1.049574083
E01000503,0.634246206
E01000504,0.698228652
E01000505,1.425797598
E01000506,0.733944978
E01000507,1.087966393
E01000508,1.357808373
E01000509,0.77419475
E01000510,1.020491925
E01000511,1.685199608
E01000512,1.002698033
E01000513,1.018917495
E01000514,1.162343211
E01000515,1.050679708
E01000516,1.165099307
E01000517,1.125588393
E01000518,0.769677406
E01000519,0.938525749
E01000520,1.098185962
E01000521,1.438977933
E01000522,1.329269674
E01000523,1.214508406
E01000524,1.523545438
E01000525,1.251989036
E01000526,2.262708715
E01000527,1.593852814
E01000528,1.787121576
E01000530,1.389542182
E01000531,1.532060306
E01000532,1.3597602
E01000533,1.597677112
E01000534,1.31297433
E01000535,1.192862941
E01000536,0.576319574
E01000538,0.880161031
E01000539,0.881265243
E01000540,1.048974766
E01000541,0.756344509
E01000543,0.673801113
E01000544,1.597089287
E01000545,1.884057443
E01000546,1.098463265
E01000547,1.008827189
E01000548,1.653953081
E01000549,0.861718981
E01000550,2.385720582
E01000551,1.913138759
E01000552,1.785923567
E01000553,1.961698653
E01000554,1.103854253
E01000555,1.076452423
E01000556,1.275234432
E01000557,0.904757655
E01000558,0.97760715
E01000559,0.814572527
E01000560,0.91766442
E01000561,2.046169168
E01000562,0.888656301
E01000563,1.003539751
E01000564,0.90470059
E01000565,1.196993175
E01000566,0.813186534
E01000567,0.883280008
E01000568,0.228767059
E01000569,1.312876704
E01000570,1.169142221
E01000571,0.913506535
E01000572,1.08063067
E01000573,0.956467583
E01000574,1.177746701
E01000575,0.890384733
